Vegetable,Season,Month,Temperature,Disaster Events,Vegetable Condition,Price per kg
Onion,Winter,4,16.9655435,No,scrap,25
Cauliflower,Summer,3,36.36250417,No,wilted,20
Pumpkin,Monsoon,5,35.07226736,No,wilted,40
Radish,Winter,3,16.89282025,No,wilted,38
Radish,Summer,9,11.0681568,No,scrap,35
Ginger,Spring,3,34.13597787,No,wilted,60
Pumpkin,Monsoon,2,28.46525666,Yes,average,52
Ginger,Monsoon,12,13.02646084,No,average,60
Radish,Monsoon,5,27.62074619,Yes,fresh,49.4
Potato,Winter,6,23.56548056,No,fresh,28
Radish,Autumn,1,33.23650982,No,wilted,35
Potato,Winter,12,16.27254526,Yes,fresh,36.4
Okra,Summer,11,23.59470233,Yes,scrap,26
Radish,Autumn,6,14.68732343,Yes,scrap,45.5
Potato,Summer,10,38.72581683,No,average,28
Bitter gourd,Autumn,3,33.36214471,Yes,average,32.5
Garlic,Winter,4,32.1016728,No,fresh,80
Okra,Monsoon,6,30.70619995,No,fresh,20
Bitter gourd,Spring,8,22.70009327,Yes,scrap,32.5
Pointed grourd,Monsoon,9,37.69847247,No,average,35
Ginger,Winter,6,12.18751036,Yes,fresh,78
Peas,Autumn,7,34.09777215,Yes,scrap,110.5
Tomato,Monsoon,5,16.45698196,Yes,average,39
Ginger,Winter,12,19.72083867,Yes,scrap,78
Cabbage,Summer,9,25.58289187,No,scrap,30
Cabbage,Spring,4,33.47965033,No,average,30
Bitter gourd,Monsoon,10,35.15604723,Yes,scrap,32.5
Chilly,Autumn,11,27.5119675,Yes,fresh,45.5
Onion,Summer,6,22.09106467,No,scrap,25
Garlic,Winter,5,38.39507264,No,fresh,80
Okra,Spring,1,17.39563888,Yes,wilted,26
Garlic,Autumn,5,34.09283728,No,wilted,80
Okra,Winter,5,28.36148864,No,wilted,20
Ginger,Winter,9,21.30685051,No,scrap,60
Pointed grourd,Monsoon,1,10.04103953,No,wilted,35
Brinjal,Monsoon,5,23.39797904,Yes,wilted,52
Bitter gourd,Autumn,7,18.30159993,No,scrap,25
Radish,Winter,11,13.1303984,Yes,average,49.4
Chilly,Monsoon,6,12.25475696,Yes,scrap,45.5
Cabbage,Spring,6,20.42674982,Yes,fresh,39
Pointed grourd,Spring,12,28.44272166,No,scrap,35
Ginger,Winter,7,35.12557946,No,average,60
Cabbage,Monsoon,6,15.50689735,Yes,wilted,39
Bitter gourd,Autumn,5,22.73931914,No,scrap,25
Cabbage,Autumn,10,21.7586842,Yes,wilted,39
Chilly,Autumn,5,25.40182028,Yes,fresh,45.5
Radish,Spring,9,34.28761812,No,average,35
Pumpkin,Monsoon,8,26.60935654,No,wilted,40
Cabbage,Monsoon,12,35.39964741,No,wilted,30
Bitter gourd,Spring,10,25.55655268,Yes,wilted,32.5
Chilly,Autumn,4,28.11542096,Yes,wilted,45.5
Pumpkin,Autumn,4,23.12149727,No,scrap,40
Garlic,Winter,10,34.69286741,Yes,average,104
Okra,Summer,5,37.71481619,Yes,average,26
Radish,Monsoon,3,29.17434214,Yes,wilted,45.5
Radish,Monsoon,8,34.62347348,No,average,35
Onion,Monsoon,7,11.77010002,No,wilted,25
Potato,Summer,5,37.18335254,No,fresh,28
Garlic,Winter,10,15.66775201,Yes,fresh,104
Tomato,Summer,3,17.69561282,No,fresh,30
Cauliflower,Autumn,5,11.59990205,Yes,average,26
Chilly,Autumn,3,38.96200351,Yes,wilted,45.5
Garlic,Monsoon,10,35.56032548,Yes,scrap,104
Potato,Spring,5,37.39553812,No,scrap,28
Radish,Monsoon,1,35.41648503,Yes,fresh,45.5
Peas,Spring,6,24.38591658,No,fresh,85
Cauliflower,Summer,10,37.72245802,Yes,average,26
Potato,Autumn,4,39.08418461,No,scrap,28
Garlic,Spring,4,25.0770093,No,average,80
Brinjal,Summer,8,15.26874344,No,fresh,40
Onion,Autumn,2,29.75867527,No,wilted,25
Potato,Spring,4,39.2631487,No,wilted,28
Cucumber,Monsoon,2,36.1644058,No,wilted,30
Pointed grourd,Monsoon,1,35.85445528,No,fresh,35
Pointed grourd,Monsoon,10,38.0145405,No,average,35
Peas,Summer,3,36.81856782,Yes,wilted,110.5
Garlic,Monsoon,12,33.28844992,Yes,scrap,104
Bitter gourd,Winter,8,31.54818496,Yes,scrap,32.5
Bitter gourd,Autumn,6,17.94301521,Yes,fresh,32.5
Potato,Summer,12,28.64020064,Yes,scrap,36.4
Okra,Monsoon,7,25.64465865,No,scrap,20
Cabbage,Autumn,2,35.85832275,No,fresh,30
Garlic,Spring,6,24.7513772,No,average,80
Cucumber,Monsoon,8,13.83228291,No,wilted,30
Ginger,Autumn,8,10.14917456,No,fresh,60
Okra,Winter,4,30.33619361,Yes,scrap,26
Chilly,Spring,6,26.49725161,Yes,wilted,45.5
Bitter gourd,Winter,5,19.92888713,No,wilted,25
Onion,Autumn,9,15.0691645,Yes,wilted,32.5
Pointed grourd,Winter,8,24.00145967,Yes,fresh,45.5
Radish,Autumn,2,13.00859417,No,wilted,35
Okra,Autumn,12,20.08325468,No,average,20
Tomato,Winter,7,21.37635719,Yes,scrap,39
Tomato,Autumn,7,23.96856085,Yes,fresh,39
Pointed grourd,Monsoon,11,23.99862254,No,fresh,35
Garlic,Autumn,12,17.7101693,Yes,wilted,104
Brinjal,Summer,1,35.50632945,No,scrap,40
Cabbage,Autumn,1,20.66630519,Yes,wilted,39
Tomato,Summer,12,16.88761927,Yes,wilted,39
Chilly,Autumn,4,15.2742965,No,fresh,35
Tomato,Autumn,5,19.67735184,Yes,average,39
Tomato,Winter,4,12.02658649,No,scrap,30
Tomato,Monsoon,7,10.98722569,Yes,scrap,39
Brinjal,Monsoon,3,28.1542659,Yes,scrap,52
Brinjal,Spring,7,28.57441408,No,scrap,40
Chilly,Winter,8,25.88764608,Yes,average,45.5
Bitter gourd,Winter,6,32.86855586,No,fresh,25
Bitter gourd,Monsoon,6,11.17451633,No,average,25
Brinjal,Winter,8,38.07919325,Yes,wilted,52
Pointed grourd,Monsoon,8,12.8519537,No,fresh,35
Cucumber,Winter,7,30.22068983,No,average,30
Cauliflower,Autumn,6,14.00189767,No,scrap,20
Peas,Monsoon,6,36.397163,Yes,scrap,110.5
Tomato,Monsoon,10,25.32139861,No,fresh,30
Cucumber,Summer,11,12.46880623,No,average,30
Chilly,Winter,6,28.50172338,Yes,fresh,45.5
Brinjal,Winter,8,10.27329832,No,scrap,40
Cucumber,Monsoon,1,33.28066535,No,average,30
Peas,Autumn,5,29.5175496,No,scrap,85
Radish,Autumn,3,16.37874248,Yes,fresh,49.4
Radish,Autumn,12,21.24252749,Yes,fresh,49.4
Bitter gourd,Winter,8,10.23420083,Yes,fresh,32.5
Okra,Summer,11,30.81051445,Yes,fresh,26
Cucumber,Monsoon,6,19.68004413,Yes,fresh,39
Radish,Spring,2,27.14766746,Yes,wilted,49.4
Cabbage,Summer,7,38.70182884,No,fresh,30
Cauliflower,Spring,7,18.98400139,Yes,fresh,26
Cabbage,Summer,5,39.70713652,Yes,scrap,39
Garlic,Autumn,8,28.98185158,Yes,fresh,104
Okra,Winter,5,17.26265999,Yes,average,26
Bitter gourd,Spring,1,23.10333649,No,fresh,25
Ginger,Summer,9,32.21359367,No,wilted,60
Garlic,Winter,4,23.39433723,Yes,fresh,104
Ginger,Spring,2,12.05522702,No,scrap,60
Bitter gourd,Monsoon,4,15.05810984,Yes,average,32.5
Peas,Summer,9,33.73893237,No,average,85
Onion,Monsoon,2,29.45119227,Yes,fresh,32.5
Cabbage,Autumn,4,27.09476432,Yes,fresh,39
Garlic,Monsoon,2,15.02865912,Yes,fresh,104
Radish,Monsoon,5,35.13272336,Yes,fresh,49.4
Radish,Summer,3,38.82220329,No,scrap,38
Tomato,Autumn,10,11.22661292,Yes,scrap,39
Brinjal,Monsoon,2,12.34095612,No,average,40
Bitter gourd,Winter,9,36.5417351,No,fresh,25
Radish,Spring,5,34.46656762,No,scrap,38
Pointed grourd,Monsoon,10,28.53803367,Yes,scrap,45.5
Chilly,Autumn,5,38.34895627,No,average,35
Chilly,Monsoon,1,29.39291734,No,average,35
Okra,Spring,6,16.47955827,No,wilted,20
Okra,Autumn,7,31.85926971,Yes,scrap,26
Cabbage,Summer,1,29.37131034,No,average,30
Radish,Autumn,9,39.57234106,Yes,scrap,49.4
Radish,Summer,8,16.41687209,No,scrap,38
Cabbage,Autumn,12,27.93654809,No,fresh,30
Bitter gourd,Spring,8,33.40502567,Yes,fresh,32.5
Peas,Spring,7,20.16949268,Yes,fresh,110.5
Tomato,Autumn,5,21.39038749,No,fresh,30
Ginger,Monsoon,3,36.63705515,Yes,scrap,78
Cauliflower,Spring,12,22.12584639,No,wilted,20
Cucumber,Summer,9,28.74198556,No,wilted,30
Ginger,Summer,7,36.67714413,Yes,wilted,78
Cabbage,Winter,11,16.29479749,Yes,scrap,39
Radish,Summer,10,39.45631889,Yes,wilted,49.4
Cabbage,Winter,10,31.05860602,No,scrap,30
Pumpkin,Autumn,8,24.88365082,No,average,40
Brinjal,Autumn,6,22.92761693,No,wilted,40
Cabbage,Autumn,12,38.63093847,Yes,scrap,39
Radish,Monsoon,11,16.17174483,Yes,average,49.4
Okra,Monsoon,5,19.35049771,Yes,fresh,26
Cauliflower,Winter,8,19.23378267,No,average,20
Bitter gourd,Summer,3,18.67019004,Yes,average,32.5
Cauliflower,Summer,12,24.05614136,Yes,wilted,26
Bitter gourd,Autumn,7,39.675377,No,fresh,25
Pumpkin,Spring,2,36.663603,Yes,fresh,52
Radish,Monsoon,3,19.83848705,Yes,wilted,49.4
Ginger,Monsoon,12,22.68610347,No,average,60
Garlic,Autumn,2,30.08442239,No,scrap,80
Cabbage,Monsoon,5,10.51455042,No,wilted,30
Tomato,Autumn,7,34.60460976,No,average,30
Bitter gourd,Winter,11,36.39394172,No,scrap,25
Radish,Summer,10,35.71601003,No,wilted,38
Pointed grourd,Spring,11,21.25163161,Yes,wilted,45.5
Pumpkin,Summer,11,23.85998522,Yes,fresh,52
Cucumber,Summer,11,10.37164966,No,fresh,30
Cucumber,Winter,10,21.98186044,No,fresh,30
Potato,Monsoon,1,23.81280467,Yes,scrap,36.4
Ginger,Spring,10,37.20922879,No,wilted,60
Brinjal,Monsoon,9,36.81963021,No,fresh,40
Bitter gourd,Summer,1,38.98291192,Yes,fresh,32.5
Radish,Autumn,1,36.55314955,Yes,wilted,45.5
Bitter gourd,Summer,12,10.24602128,No,scrap,25
Chilly,Monsoon,10,29.24382557,No,fresh,35
Radish,Summer,8,12.04713049,Yes,average,49.4
Cauliflower,Autumn,6,18.17782859,No,scrap,20
Cabbage,Winter,6,27.34922888,Yes,fresh,39
Tomato,Monsoon,12,31.01841455,Yes,average,39
Tomato,Summer,9,29.63896078,No,fresh,30
Pointed grourd,Monsoon,4,11.47175102,Yes,scrap,45.5
Pumpkin,Winter,8,13.10811609,Yes,wilted,52
Cucumber,Summer,4,13.85760439,Yes,wilted,39
Cabbage,Summer,2,12.7424313,No,scrap,30
Okra,Monsoon,11,15.3470327,No,fresh,20
Chilly,Monsoon,8,30.65463374,No,scrap,35
Tomato,Autumn,12,34.92511753,Yes,average,39
Pumpkin,Winter,7,22.2644167,Yes,fresh,52
Cabbage,Autumn,4,30.78344519,No,scrap,30
Bitter gourd,Summer,9,16.00048784,Yes,wilted,32.5
Bitter gourd,Monsoon,9,39.19840455,Yes,scrap,32.5
Cabbage,Summer,8,20.49992569,No,fresh,30
Onion,Summer,1,35.37600719,Yes,scrap,32.5
Cabbage,Spring,7,38.36099118,Yes,wilted,39
Ginger,Spring,5,35.94141889,Yes,average,78
Pumpkin,Summer,7,12.01202955,Yes,scrap,52
Radish,Monsoon,12,29.50921472,Yes,scrap,45.5
Brinjal,Summer,9,13.6027212,Yes,average,52
Onion,Spring,2,10.16989002,No,scrap,25
Brinjal,Monsoon,11,11.55350332,No,wilted,40
Tomato,Summer,4,37.48447589,Yes,average,39
Ginger,Winter,4,37.25390543,No,wilted,60
Bitter gourd,Winter,2,16.77473163,No,wilted,25
Okra,Summer,3,26.41183644,No,wilted,20
Peas,Monsoon,11,38.65084787,Yes,fresh,110.5
Radish,Summer,8,24.90118389,No,average,38
Garlic,Summer,12,21.8073346,Yes,fresh,104
Onion,Spring,9,24.49746082,No,fresh,25
Cabbage,Winter,6,33.70647285,No,scrap,30
Potato,Spring,10,24.31832898,Yes,average,36.4
Garlic,Spring,2,33.49833044,No,scrap,80
Cauliflower,Summer,2,22.95092337,Yes,fresh,26
Potato,Spring,7,17.56017014,No,scrap,28
Bitter gourd,Winter,8,19.79418189,No,wilted,25
Ginger,Spring,8,12.33470394,No,fresh,60
Pumpkin,Winter,6,24.92143433,No,wilted,40
Radish,Spring,10,14.44332775,Yes,average,49.4
Pumpkin,Winter,8,34.34641019,Yes,scrap,52
Pointed grourd,Spring,1,22.61771722,No,fresh,35
Radish,Spring,9,32.95006972,Yes,average,45.5
Brinjal,Monsoon,12,38.63381283,No,wilted,40
Brinjal,Winter,1,35.48433849,Yes,scrap,52
Tomato,Winter,3,38.54391039,Yes,scrap,39
Onion,Winter,12,27.03809581,Yes,fresh,32.5
Cucumber,Autumn,9,14.95973302,No,scrap,30
Radish,Spring,11,38.06187863,Yes,scrap,45.5
Peas,Winter,5,36.05513172,Yes,wilted,110.5
Chilly,Autumn,9,35.93238973,No,wilted,35
Bitter gourd,Monsoon,9,30.79823282,No,wilted,25
Ginger,Winter,6,28.74748787,No,average,60
Pointed grourd,Winter,11,10.44171676,Yes,average,45.5
Pointed grourd,Autumn,1,32.44162207,Yes,scrap,45.5
Chilly,Spring,10,12.74605352,Yes,average,45.5
Garlic,Monsoon,7,17.79252808,Yes,fresh,104
Cauliflower,Winter,6,26.54470886,Yes,wilted,26
Cucumber,Spring,9,23.55197755,Yes,average,39
Potato,Monsoon,7,10.47323169,No,scrap,28
Radish,Summer,12,34.71955175,Yes,wilted,45.5
Cabbage,Summer,11,36.36402874,Yes,average,39
Ginger,Monsoon,12,30.4561883,Yes,wilted,78
Radish,Autumn,4,26.23203576,No,average,38
Potato,Monsoon,7,38.82213517,Yes,scrap,36.4
Onion,Monsoon,2,13.59868623,No,average,25
Tomato,Autumn,6,32.13730161,Yes,average,39
Chilly,Autumn,6,13.85081839,No,average,35
Okra,Spring,2,21.45534397,No,wilted,20
Pointed grourd,Spring,4,27.56453528,No,average,35
Bitter gourd,Autumn,8,32.11263072,Yes,average,32.5
Bitter gourd,Summer,8,10.11148301,No,average,25
Radish,Summer,8,17.81793659,Yes,wilted,45.5
Brinjal,Monsoon,8,26.14601174,No,scrap,40
Radish,Winter,1,25.98621037,Yes,scrap,49.4
Ginger,Monsoon,2,29.12879305,No,scrap,60
Potato,Monsoon,12,19.11560743,No,average,28
Bitter gourd,Winter,4,26.21587753,Yes,wilted,32.5
Radish,Autumn,12,15.69360332,No,scrap,38
Garlic,Summer,9,15.60616643,Yes,scrap,104
Chilly,Monsoon,3,27.2969189,No,scrap,35
Cabbage,Winter,6,30.56417755,No,fresh,30
Pointed grourd,Spring,7,13.611999,Yes,wilted,45.5
Radish,Monsoon,8,13.68369706,Yes,fresh,49.4
Chilly,Summer,7,26.95908074,Yes,average,45.5
Pumpkin,Autumn,3,18.10287257,No,scrap,40
Chilly,Monsoon,6,21.77197307,Yes,average,45.5
Radish,Monsoon,5,22.02245343,Yes,wilted,45.5
Tomato,Winter,12,15.35658578,No,average,30
Pumpkin,Spring,10,10.039439,Yes,average,52
Chilly,Spring,4,35.5945543,Yes,scrap,45.5
Pointed grourd,Autumn,1,31.45005907,No,wilted,35
Radish,Summer,7,30.71615674,No,average,38
Radish,Autumn,8,26.39515414,No,fresh,38
Garlic,Monsoon,2,31.02908964,No,scrap,80
Cauliflower,Monsoon,7,38.07065133,No,fresh,20
Bitter gourd,Spring,6,29.97021209,Yes,scrap,32.5
Chilly,Summer,5,17.95274206,No,average,35
Onion,Winter,4,27.11680155,No,scrap,25
Chilly,Summer,2,23.2697321,No,average,35
Cauliflower,Monsoon,10,26.69257393,Yes,fresh,26
Brinjal,Winter,6,25.52831432,Yes,average,52
Onion,Summer,5,35.76325856,Yes,scrap,32.5
Bitter gourd,Summer,2,29.5540031,Yes,scrap,32.5
Chilly,Winter,10,15.66275434,No,scrap,35
Potato,Monsoon,7,11.89050337,No,fresh,28
Cauliflower,Summer,6,22.73091366,No,wilted,20
Radish,Winter,12,10.46831867,Yes,fresh,49.4
Radish,Monsoon,11,19.54892158,No,average,38
Brinjal,Winter,9,21.04064408,Yes,average,52
Tomato,Winter,11,21.26766622,Yes,fresh,39
Pointed grourd,Summer,10,39.38050073,Yes,fresh,45.5
Cabbage,Monsoon,5,19.11702631,No,average,30
Bitter gourd,Summer,9,17.95682486,No,average,25
Bitter gourd,Autumn,9,13.88142793,No,average,25
Peas,Autumn,1,25.33026507,No,wilted,85
Chilly,Monsoon,5,14.61022919,Yes,wilted,45.5
Pointed grourd,Winter,9,28.48884138,No,fresh,35
Cabbage,Summer,7,14.65479337,Yes,fresh,39
Bitter gourd,Summer,6,27.30019953,Yes,wilted,32.5
Bitter gourd,Monsoon,6,34.78807718,Yes,scrap,32.5
Ginger,Monsoon,11,11.27573901,Yes,wilted,78
Onion,Autumn,7,22.59240925,Yes,fresh,32.5
Peas,Spring,1,23.83146902,Yes,wilted,110.5
Pointed grourd,Monsoon,4,33.7321643,Yes,scrap,45.5
Potato,Spring,1,24.03746896,No,fresh,28
Pointed grourd,Monsoon,6,27.02607359,No,average,35
Pumpkin,Winter,4,33.73612761,Yes,fresh,52
Brinjal,Winter,1,26.79275479,No,wilted,40
Cabbage,Autumn,9,20.74898241,No,wilted,30
Tomato,Autumn,12,12.57526833,No,scrap,30
Ginger,Spring,4,31.89746889,No,wilted,60
Onion,Monsoon,12,36.1341445,Yes,scrap,32.5
Brinjal,Summer,6,39.10193611,No,fresh,40
Okra,Autumn,7,37.79799642,Yes,wilted,26
Garlic,Summer,8,33.92253726,Yes,fresh,104
Cauliflower,Summer,12,29.30415797,No,average,20
Potato,Monsoon,11,33.44380437,No,average,28
Peas,Spring,9,22.96251139,Yes,scrap,110.5
Cauliflower,Monsoon,9,27.84328644,Yes,wilted,26
Cauliflower,Autumn,8,20.46099427,No,fresh,20
Onion,Summer,10,19.80127645,No,fresh,25
Chilly,Monsoon,11,32.7007532,Yes,wilted,45.5
Okra,Monsoon,12,23.61798347,No,fresh,20
Cabbage,Monsoon,12,16.36483789,Yes,wilted,39
Tomato,Autumn,3,16.05814486,Yes,wilted,39
Cabbage,Spring,12,35.77517085,Yes,average,39
Radish,Monsoon,2,30.33281483,Yes,wilted,49.4
Cauliflower,Autumn,5,26.3813822,No,fresh,20
Tomato,Summer,1,22.02816208,Yes,wilted,39
Garlic,Winter,3,22.92452172,Yes,average,104
Chilly,Autumn,1,11.72305583,No,average,35
Pointed grourd,Winter,3,23.64730435,No,scrap,35
Tomato,Monsoon,4,33.86364732,Yes,fresh,39
Potato,Monsoon,7,21.6395944,No,wilted,28
Cabbage,Autumn,12,21.50743758,No,fresh,30
Okra,Winter,12,10.47149749,Yes,fresh,26
Tomato,Monsoon,5,23.73505788,No,wilted,30
Tomato,Summer,5,10.76012959,No,average,30
Radish,Spring,1,27.11048284,No,fresh,38
Potato,Spring,8,25.20350145,No,scrap,28
Tomato,Monsoon,4,35.20025497,No,fresh,30
Cauliflower,Winter,10,27.45341833,Yes,average,26
Pointed grourd,Monsoon,5,19.70282066,No,scrap,35
Okra,Winter,2,25.48693028,Yes,scrap,26
Pointed grourd,Summer,12,30.99119067,Yes,scrap,45.5
Okra,Winter,1,12.81891386,No,scrap,20
Garlic,Monsoon,9,28.63222265,No,wilted,80
Pumpkin,Summer,2,37.49878846,No,wilted,40
Radish,Autumn,6,18.97390887,No,wilted,35
Radish,Spring,1,28.79875285,No,scrap,38
Chilly,Monsoon,1,34.63988351,No,average,35
Cabbage,Monsoon,9,25.35419192,No,fresh,30
Pointed grourd,Monsoon,4,31.53938602,No,scrap,35
Cauliflower,Summer,9,19.33031015,No,average,20
Radish,Autumn,11,19.18175359,No,fresh,38
Garlic,Winter,5,30.02752065,No,scrap,80
Potato,Autumn,7,31.16226622,No,fresh,28
Onion,Summer,1,38.11029099,Yes,wilted,32.5
Garlic,Monsoon,6,16.74515724,No,wilted,80
Pumpkin,Spring,8,24.04652788,Yes,wilted,52
Chilly,Monsoon,1,17.51540419,Yes,average,45.5
Cabbage,Winter,9,12.40276483,No,wilted,30
Peas,Spring,3,22.09691584,Yes,average,110.5
Peas,Monsoon,1,21.22242242,No,wilted,85
Radish,Spring,1,18.1130236,No,wilted,35
Pointed grourd,Autumn,11,18.90984673,Yes,wilted,45.5
Okra,Summer,6,20.81235419,No,average,20
Onion,Monsoon,11,39.66512898,Yes,fresh,32.5
Pointed grourd,Winter,6,33.48873298,Yes,average,45.5
Tomato,Autumn,1,12.14203603,No,scrap,30
Cucumber,Monsoon,3,36.17239529,Yes,scrap,39
Garlic,Autumn,7,28.99909979,Yes,average,104
Pumpkin,Winter,10,36.7178128,No,average,40
Potato,Monsoon,3,20.25129061,Yes,fresh,36.4
Ginger,Winter,3,23.93556594,No,average,60
Onion,Spring,3,36.88681172,No,wilted,25
Okra,Winter,12,18.17719408,No,fresh,20
Brinjal,Spring,7,37.46502629,No,average,40
Chilly,Monsoon,4,34.85499136,Yes,average,45.5
Chilly,Spring,4,39.41673823,No,scrap,35
Cucumber,Monsoon,3,19.72772761,Yes,fresh,39
Ginger,Monsoon,10,17.0725954,Yes,scrap,78
Radish,Summer,11,19.92600691,No,average,38
Potato,Monsoon,9,38.63949388,No,fresh,28
Bitter gourd,Spring,2,19.99219888,No,wilted,25
Tomato,Summer,4,26.9563546,Yes,average,39
Garlic,Summer,8,22.11037848,No,average,80
Potato,Monsoon,6,21.88660433,Yes,scrap,36.4
Cauliflower,Winter,7,15.8013583,No,wilted,20
Cauliflower,Winter,7,26.11238622,No,average,20
Cucumber,Summer,2,35.48212765,Yes,scrap,39
Pointed grourd,Monsoon,4,11.48455041,Yes,scrap,45.5
Garlic,Winter,10,36.67679781,No,average,80
Onion,Monsoon,10,29.96418895,No,fresh,25
Garlic,Monsoon,6,28.50214242,No,average,80
Cabbage,Summer,3,28.77700699,Yes,wilted,39
Potato,Summer,9,18.88809508,No,average,28
Potato,Autumn,4,22.45433512,No,fresh,28
Ginger,Winter,10,33.97870018,Yes,scrap,78
Okra,Winter,2,19.19143111,No,wilted,20
Garlic,Winter,6,24.10060629,Yes,wilted,104
Bitter gourd,Spring,1,10.58896814,Yes,wilted,32.5
Cabbage,Monsoon,6,32.00675059,No,wilted,30
Potato,Summer,12,22.5310653,No,fresh,28
Tomato,Winter,10,25.76076305,Yes,fresh,39
Bitter gourd,Autumn,1,13.44067953,Yes,fresh,32.5
Cucumber,Winter,8,39.75142686,No,fresh,30
Cucumber,Monsoon,5,19.07403481,Yes,scrap,39
Pointed grourd,Monsoon,6,29.04968985,Yes,average,45.5
Potato,Summer,2,27.43709035,No,fresh,28
Potato,Spring,2,33.55276612,Yes,average,36.4
Radish,Summer,12,18.81510867,Yes,wilted,45.5
Radish,Winter,9,32.67782035,Yes,scrap,49.4
Peas,Autumn,3,21.47505192,Yes,scrap,110.5
Chilly,Summer,6,22.33482898,Yes,average,45.5
Cauliflower,Spring,10,30.18137579,Yes,average,26
Cabbage,Summer,5,33.52857315,No,average,30
Radish,Monsoon,12,30.00599908,No,scrap,35
Okra,Winter,4,36.99638562,No,fresh,20
Tomato,Winter,10,18.55477089,No,scrap,30
Pumpkin,Winter,2,37.01850196,Yes,fresh,52
Radish,Winter,8,13.92590578,No,wilted,35
Bitter gourd,Winter,10,29.78590957,Yes,fresh,32.5
Cabbage,Winter,7,26.42891954,No,average,30
Radish,Autumn,11,24.83907821,Yes,fresh,49.4
Peas,Spring,2,19.32736087,No,fresh,85
Pointed grourd,Winter,6,25.11198236,Yes,scrap,45.5
Onion,Spring,8,14.85320069,No,average,25
Radish,Winter,7,21.07962833,No,wilted,38
Ginger,Summer,1,12.96042752,No,fresh,60
Cucumber,Winter,5,27.15539799,No,wilted,30
Pointed grourd,Monsoon,2,12.87303659,No,average,35
Ginger,Autumn,6,14.81033932,Yes,fresh,78
Cauliflower,Summer,7,12.56400404,No,scrap,20
Ginger,Summer,7,21.4393192,Yes,wilted,78
Chilly,Monsoon,3,35.25875363,No,scrap,35
Okra,Winter,7,37.20689175,No,wilted,20
Cauliflower,Autumn,5,12.15668364,No,average,20
Tomato,Summer,8,29.03650423,Yes,fresh,39
Okra,Autumn,12,30.53156274,No,wilted,20
Bitter gourd,Summer,8,26.01309827,No,scrap,25
Potato,Winter,7,30.00954584,Yes,wilted,36.4
Radish,Summer,6,17.01072146,Yes,wilted,49.4
Potato,Summer,2,24.68932635,Yes,wilted,36.4
Pumpkin,Spring,6,21.72627547,Yes,wilted,52
Cabbage,Winter,12,12.69123854,No,wilted,30
Cucumber,Monsoon,11,28.76669319,Yes,wilted,39
Chilly,Monsoon,9,24.85645578,Yes,scrap,45.5
